old_clade	new_clade	cutoff	divergence_addition	divergence_scale	min_size	bushiness_branch_scale	branch_length_scale	score	bushiness	div	branch_score
9	76	0.5	0.5	5.0	10.0	9.0	5.0	0.8275445904737517	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	29	0.5	0.5	5.0	20.0	9.0	5.0	0.8678757673064336	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	17	0.5	0.5	5.0	30.0	9.0	5.0	0.8822619362476242	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	80	0.5	0.7	5.0	10.0	9.0	5.0	0.9841111752167246	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	32	0.5	0.7	5.0	20.0	9.0	5.0	1.0408824654856639	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	20	0.5	0.7	5.0	30.0	9.0	5.0	1.0610231020033283	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	80	0.5	0.9	5.0	10.0	9.0	5.0	1.1410872593696857	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	32	0.5	0.9	5.0	20.0	9.0	5.0	1.2140789182868927	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	20	0.5	0.9	5.0	30.0	9.0	5.0	1.239974022381034	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	80	0.5	1.1	5.0	10.0	9.0	5.0	1.2980633435226505	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	32	0.5	1.1	5.0	20.0	9.0	5.0	1.3872753710881218	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	20	0.5	1.1	5.0	30.0	9.0	5.0	1.418924942758738	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	69	0.6	0.5	5.0	10.0	9.0	5.0	0.8286910126733987	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	29	0.6	0.5	5.0	20.0	9.0	5.0	0.8680408270548037	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	16	0.6	0.5	5.0	30.0	9.0	5.0	0.883478837497329	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	72	0.6	0.7	5.0	10.0	9.0	5.0	0.9861679203097811	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	32	0.6	0.7	5.0	20.0	9.0	5.0	1.0410008576287493	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	19	0.6	0.7	5.0	30.0	9.0	5.0	1.0626140722482822	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	76	0.6	0.9	5.0	10.0	9.0	5.0	1.1432807743618034	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	33	0.6	0.9	5.0	20.0	9.0	5.0	1.2139804852155827	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	21	0.6	0.9	5.0	30.0	9.0	5.0	1.2416538226401308	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	76	0.6	1.1	5.0	10.0	9.0	5.0	1.3007443062907942	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	33	0.6	1.1	5.0	20.0	9.0	5.0	1.3871550640009649	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	21	0.6	1.1	5.0	30.0	9.0	5.0	1.420978031964301	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	61	0.7	0.5	5.0	10.0	9.0	5.0	0.8335774088721731	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	28	0.7	0.5	5.0	20.0	9.0	5.0	0.8702069301612297	0.2788825003690834	0.09102154929577501	0.16227915282853625
9	16	0.7	0.5	5.0	30.0	9.0	5.0	0.8836904289647235	0.2788825003690834	0.09102154929577501	0.16227915282853625
